id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
581	Tenured Professor	9	24	Tenured Professor	24	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University	College Station, Texas	Texas A&M University	Anthropology	No	No	None			College Station	Texas	US	77843	77843	
582	Tenured Professor	9	24	Tenured Professor	24	Graduate Student	4	6	Graduate Student	6	Male	R2	Research University	College Station, Texas	Texas A&M University	Anthropology	Yes	Yes	None			College Station	Texas	US	77843	77843	
583	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Political Science	Yes	Yes	Yes								
584	Staff	6	14.5	Professional	17	Other	1	0.5	Donor	27	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University	Liberal Arts	Yes	Yes	None			State College	Pennsylvania	US	16801	16801	
585	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Big Ten	Research University	Columbus, Ohio	Ohio State University	Music	No	No	None			Columbus	Ohio	US	43202	43202	
586	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Big Ten	Research University	(US)		Sociology	Unknown	Private	Unknown					US			
587	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Conference	Conference & Field Work			English 	Unknown	Unknown	None								
588	Tenured Professor	9	24	Full Professor	25.5	Tenured Professor	9	24	Tenured Professor	24	Male	Community College	Other College			English	Yes	Yes	None	Why don't you have an option for Community Colleges?	Why don't you have an option for Community Colleges?						
589	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Management	26	Male	R1	Research University			English	Unknown	Unknown	None								
590	Graduate Student	4	6	Graduate Student	6	Unknown	0	0	Unknown	0	Male	Other University	Research University			Humanities 	No	No	None								
591	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley	English	Yes	Yes	None			Berkeley	California	US	94709	94709	
592	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University	New York, New York	Columbia University		Unknown	Unknown	None			New York	New York	US	10027	10027	
593	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	R1	Research University			Biology	Yes	Yes	None								
594	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Medieval Studies	No	No	None								
595	Student	2	1.5	Student	1.5	Student	2	1.5	Student	1.5	Male	Research Institute	Other	Monterey, California	Defense Language Institute	Military, Linguist	Yes	Yes	Yes			Monterey	California	US	93944	93944	
596	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Austin, Texas	University of Texas - Austin	Biology	No	No	None			Austin	Texas	US	78712	78712	
597	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Chicago, Illinois	DePaul University	Music	Unknown	Unknown	None			Chicago	Illinois	US	60604	60604	
598	Graduate Student	4	6	TA / RA	7	Student	2	1.5	Student	1.5	Male	R1	Research University			History	No	No	None								
599	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Male	Research Institute	Other			Ecology	No	No	None								
600	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			Communication 	Unknown	Unknown	Yes								
601	Other	1	0.5	Other	0.5	Tenured Professor	9	24	Tenured Professor	24	Male	Ivy League	Research University	Cambridge, Massachusetts	Harvard University	Astronomy	Unknown	Unknown	None			Cambridge	Massachusetts	US	02138	02138	
602	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Multiple	Other University	Research University			Theater & Performance Studies	No	Private	None								
603	Staff	6	14.5	Staff	14.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University			Psychology	Unknown	Unknown	None								
604	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Male	R1	Research University			Development	No	Private	None								
605	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Post-Doctoral	13.5	Male	Research Institute	Other	Bethesda, Maryland	National Institutes of Health	Psychology, Neuroscience	Yes	Yes	Unknown			Bethesda	Maryland	US	20892	20892	
606	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University	Middletown, Connecticut	Wesleyan University	Biology	Unknown	Unknown	Unknown			Middletown	Connecticut	US	06457	06457	
607	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			English	No	No	None								
608	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	University of California	Research University	Berkeley, California	University of California - Berkeley		Unknown	Private	None	University of Arizona		Berkeley	California	US	94709	94709	
609	Tenured Professor	9	24	Full Professor	25.5	Staff	6	14.5	Staff	14.5	Male	R3	Research University	Johnson City, Tennessee	East Tennessee State University	Women's & Gender Studies	Yes	Yes	Unknown			Johnson City	Tennessee	US	37614	37614	
610	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Cincinnati, Ohio	University of Cincinnati	Women's & Gender Studies	No	No	None			Cincinnati	Ohio	US	45221	45221	
611	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Big Ten	Research University	Columbus, Ohio	Ohio State University	Creative Writing	Yes	Yes	Unknown			Columbus	Ohio	US	43202	43202	
612	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Conference	Conference & Field Work	Storrs, Connecticut	University of Connecticut	English	Yes	Yes	Yes			Storrs	Connecticut	US	06269	06269	
613	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Other University	Research University			English	Unknown	Unknown	None								
614	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Researcher	14	Male	Unknown	Unknown			Science	Unknown	Unknown	None								
615	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			English	Unknown	Unknown	None								
616	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	Big Ten	Research University	Madison, Wisconsin	University of Wisconsin - Madison	Sociology	Unknown	Private	None			Madison	Wisconsin	US	53706	53706	
617	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			English	No	No	None								
618	Graduate Student	4	6	TA / RA	7	Tenured Professor	9	24	Full Professor	25.5	Male	R3	Research University	Johnson City, Tennessee	East Tennessee State University	History	No	No	None			Johnson City	Tennessee	US	37614	37614	
619	Administration	10	26.5	Administration	26.5	Unknown	0	0	Unknown	0	Unknown	R1	Research University	New York, New York	New York University	Academic Computing	Unknown	Unknown	None			New York	New York	US	10012	10012	
620	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Political Science	Unknown	Unknown	Unknown								
621	Tenured Professor	9	24	Full Professor	25.5	Tenured Professor	9	24	Full Professor	25.5	Male	Small Liberal Arts College	Other College			[Refuse to Answer]	No	Private	Yes								
622	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Athens, Georgia	University of Georgia	Anthropology	Unknown	Unknown	None			Athens	Georgia	US	30605	30605	
623	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	New Brunswick, New Jersey	Rutgers University	Anthropology	Unknown	Unknown	None			New Brunswick	New Jersey	US	08933	08933	
624	Graduate Student	4	6	Master Student	6.5	Faculty	7	16	Post-Doctoral	13.5	Male	Conference	Conference & Field Work		American Anthropological Association	Anthropology	Unknown	Unknown	None								
625	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Post-Doctoral	13.5	Male	Unknown	Research University			Anthropology	Unknown	Unknown	None								
626	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Anthropology	Yes	Yes	None								
627	Administration	10	26.5	Management	26	Other	1	0.5	Donor	27	Male	R1	Research University	State College, Pennsylvania	Pennsylvania State University	Development	Yes	Yes	Yes			State College	Pennsylvania	US	16801	16801	
628	Unknown	0	0	Unknown	0	Unknown	0	0	Unknown	0	Male	Research Institute	Other				Unknown	Unknown	Unknown								
629	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Female	Unknown	Research University			Anthropology	Unknown	Unknown	Yes								
630	Staff	6	14.5	Professional	17	Other	1	0.5	Donor	27	Male	R1	Research University			Development	Unknown	Unknown	None								
631	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Tempe, Arizona	Arizona State University	Music	Unknown	Unknown	None			Tempe	Arizona	US	85281	85281	
632	Faculty	7	16	Researcher	14	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University	Padua, Italy	Università di Padova	Sociology	Unknown	Unknown	None			Padua		Italy		35122	35122
633	Graduate Student	4	6	Master Student	6.5	Administration	10	26.5	Administration	26.5	Female	R1	Research University	Carbondale, Illinois	Southern Illinois University - Carbondale	Creative Writing 	Unknown	Unknown	None			Carbondale	Illinois	US	62901	62901	
634	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Ecology	No	No	None								
635	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University				Unknown	Unknown	Unknown								
636	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Physics	Yes	Yes	None								
637	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	(US)		Education	Yes	Yes	None					US			
638	Faculty	7	16	Post-Doctoral	13.5	Faculty	7	16	Faculty	16	Male	R1	Research University			Neuroscience 	Unknown	Unknown	None								
639	Staff	6	14.5	Staff	14.5	Faculty	7	16	Faculty	16	Female	Small Liberal Arts College	Other College	Oberlin, Ohio	Oberlin College and Conservatory	Student Life	Yes	Yes	None			Oberlin	Ohio	US	44074	44074	
640	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Small Liberal Arts College	Other College			Creative Writing	No	No	None								
641	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	New York, New York	New York University	French	Unknown	Unknown	None			New York	New York	US	10012	10012	
642	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			Humanities 	Unknown	Unknown	Unknown								
643	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			English	Unknown	Unknown	Unknown								
644	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R3	Research University	Statesboro, Georgia	Georgia Southern University	Creative Writing	Yes	Yes	Yes			Statesboro	Georgia	US	30458	30458	
645	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Chapel Hill, North Carolina	University of North Carolina - Chapel Hill	Biology	Unknown	Unknown	Unknown			Chapel Hill	North Carolina	US	27514	27514	
646	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Rhetoric and Composition	Unknown	Unknown	Unknown								
647	Faculty	7	16	Faculty	16	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Male	Small Liberal Arts College	Other College	(US)		Women's & Gender Studies	Unknown	Unknown	None					US			
648	Faculty	7	16	Lecturer	16.5	Graduate Student	4	6	Graduate Student	6	Male	Small Liberal Arts College	Other College	(US)		Women's & Gender Studies	Yes	Yes	None					US			
649	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Big Ten	Research University	East Lansing, Michigan	Michigan State University	English 	Unknown	Unknown	Unknown			East Lansing	Michigan	US	48910	48910	
650	Graduate Student	4	6	Graduate Student	6	Undergraduate Student	3	2	Undergraduate Student	2	Male	Big Ten	Research University	Columbus, Ohio	Ohio State University	English	Unknown	Unknown	Unknown			Columbus	Ohio	US	43202	43202	
651	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Anthropology	No	No	None								
652	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Conference	Conference & Field Work			Premodern Literary Studies	Unknown	Unknown	Unknown								
653	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University	Bath, England	University of Bath	Political Science	No	No	None			Bath	England	UK		BA2	BA2
654	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Philosophy	Unknown	Unknown	None								
655	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Blacksburg, Virginia	Virginia Polytechnic Institute and State University	Sociology	Unknown	Unknown	None			Blacksburg	Virginia	US	24061	24061	
656	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Chapel Hill, North Carolina	University of North Carolina - Chapel Hill		Yes	Yes	None			Chapel Hill	North Carolina	US	27514	27514	
657	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Female	R2	Research University			English	Yes	Yes	Unknown								
658	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			English	No	No	None								
659	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	Canberra, Australia	Australian National University	Politics In The Asia Pacific	No	No	None			Canberra		Australia		0200	0200
660	Staff	6	14.5	Staff	14.5	Administration	10	26.5	Administration	26.5	Female	Other University	Research University	Canberra, Australia	Australian National University	Politics In The Asia Pacific	No	No	None			Canberra		Australia		0200	0200
661	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			English	Unknown	Unknown	Unknown								
662	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	Conference	Conference & Field Work			English	Unknown	Unknown	None								
663	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Staff	14.5	Male	Unknown	Research University			Humanities 	Unknown	Unknown	None								
664	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Unknown	0	0	Unknown	0	Unknown	Regional Teaching College	Other College			Psychology	Unknown	Unknown	Unknown								
665	Undergraduate Student	3	2	Undergraduate - Year 3	4.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Tampa, Florida	University of Tampa	English	No	Private	None			Tampa	Florida	US	33606	33606	
666	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Baltimore, Maryland	Johns Hopkins University	Writing	No	No	None			Baltimore	Maryland	US	21218	21218	
667	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Biology	Unknown	Unknown	None								
668	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	Norman, Oklahoma	University of Oklahoma	History 	Yes	Yes	None			Norman	Oklahoma	US	73019	73019	
669	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Psychology	No	No	None								
670	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Research Institute	Other			Literature	Unknown	Private	None								
671	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Field Work	Conference & Field Work			History	Unknown	Unknown	Unknown								
672	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Female	R2	Research University	Cleveland, Ohio	Cleveland State University	Humanities 	Unknown	Unknown	None			Cleveland	Ohio	US	44114	44114	
673	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R2	Research University	Houston, Texas	University of Houston	History	Unknown	Private	Yes			Houston	Texas	US	77204	77204	
674	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	R1	Research University	Cambridge, Massachusetts	Massachusetts Institute of Technology	Chemistry	Yes	Yes	None			Cambridge	Massachusetts	US	02142	02142	
675	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College			Music	No	No	None								
676	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	New York, New York	New York University	Mediterranean Studies	Unknown	Private	None			New York	New York	US	10012	10012	
677	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University				No	Private	None								
678	Student	2	1.5	Student	1.5	Faculty	7	16	Faculty	16	Male	R1	Research University			Social Work	Yes	Yes	Yes								
679	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	West Hartford, Connecticut	University of Hartford 	Science	Unknown	Unknown	Unknown			West Hartford	Connecticut	US	06117	06117	
680	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Faculty	7	16	Faculty	16	Male	Conference	Conference & Field Work			Religious Studies	No	No	None								
681	Faculty	7	16	Faculty	16	Faculty	7	16	Faculty	16	Male	Unknown	Research University			Religious Studies	No	Private	None								
682	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Master Student	6.5	Male	Big Ten	Research University	Bloomington, Indiana	Indiana University	Comparative Literature	Yes	Yes	None			Bloomington	Indiana	US	47406	47406	
683	Graduate Student	4	6	Master Student	6.5	Graduate Student	4	6	Master Student	6.5	Male	R1	Research University	Evanston, Illinois	Northwestern University	Comparative Literature	Yes	Yes	None			Evanston	Illinois	US	60202	60202	
684	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			English	Unknown	Unknown	Unknown								
685	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Philosophy	No	No	None								
686	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Tenured Professor	9	24	Tenured Professor	24	Male	Regional Teaching College	Other College			Social Work	Yes	Yes	None								
687	Faculty	7	16	Lecturer	16.5	Student	2	1.5	Student	1.5	Male	R1	Research University			Humanities 	No	No	None								
688	Faculty	7	16	Post-Doctoral	13.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Religious Studies	No	No	None								
689	Tenured Professor	9	24	Associate Professor	24.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Small Liberal Arts College	Other College			Social Sciences	Yes	Yes	None								
690	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University	New Haven, Connecticut	Yale University	Philosophy	Unknown	Unknown	None			New Haven	Connecticut	US	06511	06511	
691	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University			Law	No	No	None								
692	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work			Anthropology	Unknown	Unknown	Unknown								
693	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Archaeology	Unknown	Unknown	None								
694	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Literature	No	No	None								
695	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College				No	No	None								
696	Graduate Student	4	6	Graduate Student	6	Staff	6	14.5	Professional	17	Male	Unknown	Unknown			Anthropology	No	No	None								
697	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Conference	Conference & Field Work			Anthropology	Unknown	Unknown	None								
698	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Field Work	Conference & Field Work			Geology	No	No	None								
699	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Male	Field Work	Conference & Field Work			Geology	No	No	None								
700	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University	Chapel Hill, North Carolina	University of North Carolina - Chapel Hill	Classics	No	No	None			Chapel Hill	North Carolina	US	27514	27514	
701	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	Other University	Research University				Yes	Yes	Yes								
702	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			History	Yes	Yes	None								
703	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Female	R1	Research University	Austin, Texas	University of Texas - Austin	English	Unknown	Unknown	None			Austin	Texas	US	78712	78712	
704	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Male	Unknown	Research University			Political Science	No	No	None								
705	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Field Work	Conference & Field Work	Durham, North Carolina	Duke University	Anthropology, Archaeology	No	No	None			Durham	North Carolina	US	27705	27705	
706	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Durham, North Carolina	Duke University	Anthropology, Archaeology	No	No	None			Durham	North Carolina	US	27705	27705	
707	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Faculty	16	Male	Field Work	Conference & Field Work	Stanford, California	Stanford University	Anthropology, Archaeology	Yes	Yes	None			Stanford	California	US	94305	94305	
708	Undergraduate Student	3	2	Undergraduate Student	2	Other	1	0.5	Other	0.5	Male	Field Work	Conference & Field Work	Stanford, California	Stanford University	Anthropology, Archaeology	No	No	None			Stanford	California	US	94305	94305	
709	Staff	6	14.5	Staff	14.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University	New Brunswick, New Jersey	Rutgers University - New Brunswick	Science	Yes	Yes	Yes			New Brunswick	New Jersey	US	08933	08933	
710	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Unknown	Research University			Science	No	No	None								
711	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work			Science	No	No	None								
712	Faculty	7	16	Post-Doctoral	13.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Research University			Science	No	No	None								
713	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Lecturer	16.5	Male	Regional Teaching College	Other College				No	No	None								
714	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Yes	Yes	None								
715	Graduate Student	4	6	Graduate Student	6	Administration	10	26.5	Administration	26.5	Male	R1	Research University				No	No	None								
716	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	(US)			Unknown	Unknown	Unknown					US			
717	Student	2	1.5	Student	1.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Social Work	No	No	None								
718	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			English	Yes	Yes	None								
719	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Sociology, Anthropology	Yes	Yes	Yes								
720	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Faculty	16	Female	R1	Research University			Management	No	Private	None								
721	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			[Refuse to Answer]	No	No	None								
722	Unknown	0	0	Unknown	0	Faculty	7	16	Faculty	16	Male	R1	Research University				Unknown	Unknown	Unknown								
723	Staff	6	14.5	Staff	14.5	Tenured Professor	9	24	Associate Professor	24.5	Male	Other University	Research University	Melbourne, Victoria	Monash University	Education	Yes	Yes	None			Melbourne	Victoria	Australia		3800	3800
724	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University				Unknown	Unknown	Unknown								
725	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	Boulder, Colorado	University of Colorado - Boulder	Engineering	Yes	Yes	Yes			Boulder	Colorado	US	80305	80305	
726	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Poetry	Yes	Yes	Yes								
727	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Computer Science	Unknown	Unknown	Unknown								
728	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Linguistics	No	No	None								
729	Tenured Professor	9	24	Associate Professor	24.5	Graduate Student	4	6	Graduate Student	6	Male	Small Liberal Arts College	Other College	Chicago, Illinois	School of the Art Institute of Chicago	Architecture	Yes	Yes	None			Chicago	Illinois	US	60603	60603	
730	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Faculty	16	Male	R1	Research University			Biology	No	No	None								
731	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University				Yes	Yes	None								
732	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Undergraduate Student	3	2	Undergraduate Student	2	Female	R1	Research University			Political Science	Unknown	Unknown	None								
